Index,Article_Sentiment,Num_Sentences
2685,-0.156640625,5
2687,-0.2227783203125,4
2688,0.9456380208333334,3
2689,0.9423828125,3
2690,0.9436848958333334,3
2691,0.705810546875,4
2692,0.9453125,3
2693,-0.96142578125,2
2695,0.9034830729166666,3
2696,0.43486328125,5
2703,0.24348958333333334,3
2704,-0.28487723214285715,7
2709,0.15901692708333334,6
2710,0.0,3
2716,-0.320556640625,2
2718,-0.3126627604166667,3
2722,0.4625244140625,4
2727,0.819580078125,2
2728,-0.1123046875,5
2732,0.192578125,5
2742,0.3072265625,5
2753,-0.0927734375,3
2757,0.08089192708333333,6
2767,-0.2760009765625,4
2768,-0.38291015625,5
2769,0.6302083333333334,3
2774,0.3216796875,5
2783,0.0091552734375,4
2784,-0.013997395833333334,3
2785,-0.09658203125,5
2787,-0.00556640625,5
2795,0.180419921875,4
2797,0.07845052083333333,6
2799,0.38755580357142855,7
2812,0.2513671875,5
2815,0.2608119419642857,7
2816,0.4149169921875,4
2818,0.782470703125,2
2819,0.17685546875,5
2823,0.15633138020833334,6
2824,0.9345703125,1
2825,-0.20302734375,5
2831,0.0,4
2834,-0.721435546875,4
2835,0.9357096354166666,3
2837,0.9098307291666666,3
2838,-0.9695638020833334,3
2847,0.277734375,5
2850,0.552734375,3
2855,0.0,3
2857,-0.17293294270833334,6
2858,0.4705810546875,4
2866,-0.186279296875,4
2867,0.0,4
2868,-0.1724853515625,4
2873,-0.232421875,3
2874,-0.0078125,3
2877,-0.4806640625,5
2881,-0.0494140625,5
2892,0.120849609375,3
2893,0.3273111979166667,3
2897,0.882568359375,2
2899,-0.27451171875,5
2900,0.57265625,5
2906,-0.515234375,5
2908,-0.7027587890625,4
2915,-0.509765625,3
2926,0.3873697916666667,3
2932,-0.508203125,5
2936,-0.468994140625,4
2946,-0.10953776041666667,3
2948,-0.9725341796875,4
2951,-0.21842447916666666,3
2959,0.2659505208333333,3
2960,-0.025634765625,2
2967,0.44775390625,2
2971,0.6123046875,3
2972,0.0,3
2973,0.21044921875,2
2974,-0.417724609375,2
2975,0.56064453125,5
2978,0.224609375,4
2979,0.786376953125,2
2983,0.5029296875,5
2984,-0.0078125,2
2988,0.251953125,3
2989,0.0,4
2997,0.3865234375,5
2999,-0.010579427083333334,3
3001,0.463623046875,2
3002,0.138427734375,4
3004,-0.013509114583333334,3
3006,-0.013509114583333334,3
3009,-0.01904296875,2
3011,0.017903645833333332,3
3014,-0.6964518229166666,3
3015,0.62451171875,3
3016,0.006673177083333333,6
3017,0.22233072916666666,3
3018,-0.03271484375,2
3020,0.74736328125,5
3021,0.0,4
3023,0.246337890625,4
3024,-0.64013671875,3
3025,-0.940185546875,2
3032,0.5015869140625,4
3035,-0.1219482421875,4
3036,-0.193603515625,3
3037,-0.26025390625,3
3044,0.19930013020833334,6
3046,-0.2928059895833333,3
3047,-0.3055013020833333,3
3051,-0.314453125,3
3054,0.046223958333333336,3
3055,-0.427734375,2
3056,0.0,2
3058,-0.917236328125,2
3059,-0.44580078125,2
3061,-0.038736979166666664,3
3067,-0.731689453125,2
3068,-0.459228515625,2
3070,-0.6165364583333334,3
3072,-0.6018880208333334,3
3074,-0.0125,5
3079,0.6290690104166666,3
3081,-0.96484375,3
3082,-0.6453450520833334,3
3083,-0.0126953125,3
3089,-0.47412109375,4
3091,-0.0400390625,3
3097,0.0,3
3100,-0.8834228515625,4
3103,0.0,3
3124,0.41064453125,2
3127,0.6197916666666666,3
3128,0.9475911458333334,3
3129,0.36884765625,5
3130,0.94140625,3
3131,0.15625,6
3134,0.70703125,4
3136,0.4710693359375,4
3139,0.1717529296875,4
3144,0.435302734375,2
3152,-0.6461588541666666,3
